# Residuals                 
# Time                      	p                           	Ux                          	Uy                          	e                           	k                           	omega                       
1.64065e-08                 	1.05724873599590942473e-09	5.78402665886452234062e-11	6.03476256959426607490e-10	5.84612483966386122370e-09	4.37861620728082394786e-07	1.46608854165359429735e-11
1.64983e-08                 	1.09096164593737979710e-09	6.62194021616282311776e-11	6.23389916145222757724e-10	5.91956249387864731324e-09	4.52926388220344656073e-07	1.51648273591086146293e-11
1.65851e-08                 	1.03458931799837130563e-09	6.36137940371616253784e-11	6.42482623141441018041e-10	5.35857434775466224949e-09	4.28418218110369096331e-07	1.43459233743191728560e-11
1.66728e-08                 	1.04441470249065877826e-09	7.91019559568338721969e-11	8.30897036962723322320e-10	5.38134305430109898226e-09	4.32914543823998037394e-07	1.44984030915969248654e-11
1.67548e-08                 	9.77728518105984613627e-10	7.19198266923134134834e-11	7.58311222118468895385e-10	4.87470081785644091648e-09	4.04849374232796293049e-07	1.35597090871317221311e-11
1.68376e-08                 	9.86257147979922979120e-10	7.05934788696905647092e-11	7.48112129361861064151e-10	4.90223270141855971107e-09	4.08269030210235024275e-07	1.36752948665960440687e-11
1.69251e-08                 	1.04173736349978916615e-09	7.31626521102723540138e-11	7.77202583726354029821e-10	5.08021179642351042900e-09	4.31815282143000598377e-07	1.44649831720040029548e-11
1.70177e-08                 	1.09870006242528962596e-09	8.44921932638953950657e-11	7.08093081557394721063e-10	5.37709207598743437460e-09	4.56928997521682156541e-07	1.53067205215047219987e-11
1.7114e-08                  	1.14267153002308220248e-09	6.40197150198034657224e-11	5.79534507247181689232e-10	5.37470818991928117712e-09	4.75109690043090535825e-07	1.59156086003711971727e-11
1.72185e-08                 	1.23783386873908095500e-09	1.74789974199789704930e-10	6.95529461571626154549e-10	5.80947712862336747476e-09	5.15445245164194143461e-07	1.72652851882587539175e-11
1.7335e-08                  	1.38485645132137596628e-09	1.38429042392441815050e-10	6.75886949339533699820e-10	6.24632592176723032975e-09	5.75046068501794210997e-07	1.92642394447502978386e-11
1.74639e-08                 	1.52911876269450098233e-09	1.45872336450915449002e-10	7.18472981047705351068e-10	8.75487007605355099997e-09	6.35837561886170211814e-07	2.12995768359259514243e-11
1.7593e-08                  	1.53076118964500150471e-09	1.56196032117360512496e-10	9.74140889967128197096e-10	8.76346649754699119305e-09	6.37186826012886736927e-07	2.13435412898654312928e-11
1.77225e-08                 	1.53046361593668669162e-09	1.12263203968090793766e-10	8.34140380023437349250e-10	7.43982781759411473742e-09	6.38622999932998013506e-07	2.13899517456886921893e-11
1.78522e-08                 	1.53340420781664006074e-09	1.56753886376702221532e-10	8.79854424844713673864e-10	7.40374133897927824063e-09	6.39926144391985541670e-07	2.14318946369313126457e-11
1.79821e-08                 	1.53641932488440579690e-09	1.59719387106721686220e-10	8.73715101293604751247e-10	7.47505789757124653943e-09	6.41138724344333569886e-07	2.14707399010581370692e-11
1.81123e-08                 	1.54217298291117810286e-09	1.80991937433209621828e-10	8.71554696339023930035e-10	7.52976776789588199794e-09	6.42412877595470726912e-07	2.15119702823254366096e-11
1.82428e-08                 	1.54644602228467556420e-09	1.78773995053115857857e-10	8.77013341420751920227e-10	8.02035005870371510575e-09	6.43760467901032080535e-07	2.15557381200262362058e-11
1.83735e-08                 	1.54969201992325289460e-09	1.76735514492535400004e-10	8.62296041781275494032e-10	8.64251361951336650760e-09	6.45133560244788237326e-07	2.16004710206555421399e-11
1.85045e-08                 	1.55148311673822785018e-09	1.26323934002749541077e-10	7.84730477867381045670e-10	8.50162662447994606370e-09	6.46515848611654212287e-07	2.16455908107028981426e-11
1.86358e-08                 	1.55518063937447894568e-09	1.77233797780137693784e-10	8.97137370252719119504e-10	8.34243343974125100549e-09	6.47879084536640596773e-07	2.16901376263535576311e-11
1.87674e-08                 	1.55871515103351303569e-09	1.25748353757660170677e-10	7.94933270002921035564e-10	9.04196797799402006482e-09	6.49198708989347335027e-07	2.17338239148962976199e-11
1.88992e-08                 	1.56479971479061586054e-09	1.45114439312400488096e-10	7.28154042341972602784e-10	8.67908903446001153653e-09	6.50442769052358261912e-07	2.17766908098255395311e-11
1.90223e-08                 	1.46770405036801064533e-09	1.28526619681836669266e-10	6.60138291893155126222e-10	1.02702091615307686790e-08	6.07145504916822615554e-07	2.03240826771545077221e-11
1.91181e-08                 	1.14856659718510483750e-09	9.80936328625423610584e-11	5.24165763355495060743e-10	1.10361429344042130812e-08	4.72890966934954389676e-07	1.58276999523823517244e-11
1.91978e-08                 	9.59485753110009319293e-10	8.01628480248155220981e-11	4.42426567141899557420e-10	1.10161057792978065236e-08	3.93089531166336334052e-07	1.31558965287824999673e-11
1.92749e-08                 	9.29417945355988579717e-10	7.62304178393839884529e-11	4.29403065468115923128e-10	1.09720262525871345953e-08	3.80661410193481914220e-07	1.27401558917842100827e-11
1.93561e-08                 	9.79424383180441611264e-10	7.86720392594496378586e-11	4.47971901149319940287e-10	1.15658302421419566881e-08	4.00440234492402810660e-07	1.34026615024800153314e-11
1.94487e-08                 	1.11404033030736339265e-09	5.92305448222600794611e-11	4.47262003798792615354e-10	1.34418167114957640656e-08	4.56864829635634987467e-07	1.52923050485029265472e-11
1.95479e-08                 	1.19284809914938834412e-09	6.06373532398282235892e-11	4.59113000737390471979e-10	1.53207555066824995050e-08	4.89608420239278218889e-07	1.63875442638802493027e-11
1.96606e-08                 	1.34838881976924685279e-09	6.68030554351932562994e-11	5.02706501401117435250e-10	1.81189862514739743794e-08	5.55893749377277716654e-07	1.86077288145772860293e-11
