# Force coefficients        
# liftDir                   : (-2.39732967011547337677e-01 9.70838866407726985841e-01 0.00000000000000000000e+00)
# dragDir                   : (9.70838866407726985841e-01 2.39732967011547337677e-01 0.00000000000000000000e+00)
# pitchAxis                 : (0.00000000000000000000e+00 0.00000000000000000000e+00 1.00000000000000000000e+00)
# magUInf                   : 6.18022000000000048203e+02
# lRef                      : 1.00000000000000000000e+00
# Aref                      : 1.00000000000000000000e+00
# CofR                      : (0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
# Time                      	Cm                          	Cd                          	Cl                          	Cl(f)                       	Cl(r)                       
1.80883e-37                 	7.48007368165058673146e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429126316e-02	-5.78867491027578728868e-02
2.1706e-37                  	7.48036667846034734650e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429126316e-02	-5.78867491027578728868e-02
2.60472e-37                 	7.48033412325926388553e-15	4.68844202609960181150e-01	-1.15773498205500702252e-01	-5.78867491027428709982e-02	-5.78867491027578312535e-02
3.12566e-37                 	7.48032947251625083559e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429126316e-02	-5.78867491027578728868e-02
3.75079e-37                 	7.47917608824925584202e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429126316e-02	-5.78867491027578728868e-02
4.50095e-37                 	7.47500437176742094868e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429195705e-02	-5.78867491027578659479e-02
5.40114e-37                 	7.47679490782707125534e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429126316e-02	-5.78867491027578728868e-02
6.48137e-37                 	7.51547048671552135017e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027428779371e-02	-5.78867491027579075813e-02
7.77765e-37                 	7.43750078011801489174e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429542649e-02	-5.78867491027578312535e-02
9.33317e-37                 	7.51308465555032371355e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027428779371e-02	-5.78867491027579075813e-02
