# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0.00372         	8.57271348e-03	5.21479969e-03	7.67688871e-03	8.04096192e-03	8.36840947e-04	1.56233399e-04
0.00374         	8.53881442e-03	5.19778332e-03	7.66494929e-03	8.01169580e-03	8.35673774e-04	1.56497132e-04
0.00376         	8.50644695e-03	5.18250152e-03	7.64862203e-03	7.98940477e-03	8.34283469e-04	1.56425814e-04
0.00378         	8.47325534e-03	5.16622682e-03	7.63552074e-03	7.96341991e-03	8.33318636e-04	1.56654401e-04
0.0038          	8.44563016e-03	5.14569717e-03	7.61797845e-03	7.93845606e-03	8.32734872e-04	1.57039993e-04
0.00382         	8.41317868e-03	5.12731825e-03	7.59878373e-03	7.91546602e-03	8.33046329e-04	1.57383056e-04
0.00384         	8.38119619e-03	5.10614746e-03	7.58077339e-03	7.88982807e-03	8.34174327e-04	1.57684655e-04
0.00386         	8.35170228e-03	5.08716473e-03	7.56482603e-03	7.86483964e-03	8.35025548e-04	1.57966166e-04
0.00388         	8.32296847e-03	5.07430392e-03	7.54376804e-03	7.84350544e-03	8.35675673e-04	1.58510780e-04
0.0039          	8.29474231e-03	5.05996756e-03	7.52373899e-03	7.82469886e-03	8.37050409e-04	1.59016324e-04
0.00392         	8.26633315e-03	5.04192230e-03	7.50972133e-03	7.80559148e-03	8.38814007e-04	1.59435077e-04
0.00394         	8.23777860e-03	5.02473904e-03	7.49783413e-03	7.78451628e-03	8.40813629e-04	1.59735614e-04
0.00396         	8.21172333e-03	5.00988027e-03	7.48356172e-03	7.76358363e-03	8.43698294e-04	1.59995162e-04
0.00398         	8.18810166e-03	4.99643627e-03	7.46958884e-03	7.74051535e-03	8.46567908e-04	1.60919376e-04
0.004           	8.16659379e-03	4.98184347e-03	7.45257665e-03	7.72255732e-03	8.49814259e-04	1.61554841e-04
0.00402         	8.14259144e-03	4.96584655e-03	7.43235680e-03	7.70474708e-03	8.53892004e-04	1.62134241e-04
0.00404         	8.11409646e-03	4.94799674e-03	7.41552865e-03	7.68329939e-03	8.58123871e-04	1.62585352e-04
0.00406         	8.08957666e-03	4.93355131e-03	7.40155299e-03	7.65977214e-03	8.62826771e-04	1.62473039e-04
0.00408         	8.06458826e-03	4.92222968e-03	7.38486796e-03	7.64176308e-03	8.68189343e-04	1.63218873e-04
0.0041          	8.04055177e-03	4.90895699e-03	7.36912690e-03	7.62614613e-03	8.74661250e-04	1.63996232e-04
0.00412         	8.01559786e-03	4.89290515e-03	7.35472631e-03	7.61185064e-03	8.80864440e-04	1.64525345e-04
0.00414         	7.99470860e-03	4.87724781e-03	7.33911603e-03	7.59508872e-03	8.87748873e-04	1.64663595e-04
0.00416         	7.97359817e-03	4.86506188e-03	7.32810457e-03	7.58039823e-03	8.95512988e-04	1.64251261e-04
0.00418         	7.95151184e-03	4.85426345e-03	7.31606820e-03	7.56278431e-03	9.03691164e-04	1.64365540e-04
0.0042          	7.92953518e-03	4.84124050e-03	7.29956533e-03	7.54202604e-03	9.12586017e-04	1.65255259e-04
0.00422         	7.91243745e-03	4.82900100e-03	7.28112228e-03	7.52368164e-03	9.22877014e-04	1.66103297e-04
0.00424         	7.89105741e-03	4.81554641e-03	7.26545247e-03	7.51050846e-03	9.33511979e-04	1.66620853e-04
0.00426         	7.86928362e-03	4.79935815e-03	7.25132520e-03	7.49301002e-03	9.45075097e-04	1.66491428e-04
0.00428         	7.85113720e-03	4.78667485e-03	7.23547206e-03	7.47730270e-03	9.57429545e-04	1.66229965e-04
0.0043          	7.83063819e-03	4.77784787e-03	7.22224178e-03	7.46105027e-03	9.70396701e-04	1.65560165e-04
0.00432         	7.81226916e-03	4.76661340e-03	7.20956162e-03	7.44524366e-03	9.85093603e-04	1.65750171e-04
0.00434         	7.79522820e-03	4.75437098e-03	7.19323325e-03	7.43443552e-03	1.00073550e-03	1.66587220e-04
0.00436         	7.77469485e-03	4.74246975e-03	7.18018940e-03	7.42084121e-03	1.01814687e-03	1.67185055e-04
0.00438         	7.75486681e-03	4.73173841e-03	7.16981514e-03	7.40552949e-03	1.03738405e-03	1.67343978e-04
0.0044          	7.73581988e-03	4.72094373e-03	7.15767397e-03	7.38762246e-03	1.05745739e-03	1.66423288e-04
0.00442         	7.71596066e-03	4.71002646e-03	7.14288304e-03	7.37198500e-03	1.08035775e-03	1.65503328e-04
0.00444         	7.70046945e-03	4.69834322e-03	7.12667987e-03	7.35973757e-03	1.10574979e-03	1.66113464e-04
0.00446         	7.68606246e-03	4.68484403e-03	7.10770266e-03	7.35205718e-03	1.13404841e-03	1.66482138e-04
0.00448         	7.66997572e-03	4.67136879e-03	7.09360422e-03	7.33949377e-03	1.16483183e-03	1.66395420e-04
0.0045          	7.65297881e-03	4.66108358e-03	7.07949900e-03	7.32331854e-03	1.19855528e-03	1.65955269e-04
0.00452         	7.63904420e-03	4.65447463e-03	7.06848506e-03	7.30891986e-03	1.23600958e-03	1.65350608e-04
0.00454         	7.62136679e-03	4.64645727e-03	7.05630793e-03	7.29686009e-03	1.27741509e-03	1.64560882e-04
0.00456         	7.60499475e-03	4.63545045e-03	7.04091651e-03	7.28618578e-03	1.32371641e-03	1.63737375e-04
0.00458         	7.58576051e-03	4.62490797e-03	7.02523590e-03	7.27162407e-03	1.37654309e-03	1.62845649e-04
